"brand","slug","old_logo_url","identity_source","usage_terms_source","identity_status","public_reuse_permission","production_before_fix","decision","production_after_fix","checked_at","notes"
"Arsenal","arsenal","https://api-next.indexfinds.com/uploads/brand-arsenal-1773668564523.png","https://www.arsenal.com/news/arsenal-trademarks-asL0z0D9JSvY","https://www.arsenal.com/terms-and-conditions-of-use","confirmed","prior written permission required","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Official identity verified; asset page does not grant reuse."
"Art That Kills","art-that-kills","https://api-next.indexfinds.com/uploads/brand-art that kills-1773676445241.png","https://gallerydept.com/collections/art-that-kills","https://gallerydept.com/policies/terms-of-service","confirmed within Gallery Dept ecosystem","no public third-party commercial license found","one transient 404 during browser run; API and immediate retry returned 200","text only; do not install candidate logo","pending deployment","2026-09-05","Retry and false-404 handling require production verification."
"AS Roma","as-roma","https://api-next.indexfinds.com/uploads/brand-as roma-1773693448272.jpg","https://www.asroma.com/en/news/61619/on-this-day-the-lupetto-becomes-an-official-club-logo","https://www.asroma.com/it/condizioni-generali-utilizzo","confirmed","prior written permission required","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Club reserves name logo and artwork rights."
"Chelsea FC","chelsea-fc","https://api-next.indexfinds.com/uploads/brand-chelsea fc-1773668518170.png","https://www.chelseafc.com/en/terms-and-conditions","https://hospitality.chelseafc.com/faq","confirmed","commercial use requires permission","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","Public API already returns logoUrl null; page cache was stale."
"Chrome Hearts","chrome-hearts","https://api-next.indexfinds.com/uploads/brand-chrome hearts-1772366282993.png","https://www.chromehearts.com/","https://terms.chromehearts.com/terms-of-use","confirmed","prior written permission required","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Terms prohibit unauthorized logo use or copying."
"Fear of God Essentials","fear-of-god-essentials","https://api-next.indexfinds.com/uploads/brand-fear of god essentials-1773666069085.jpg","https://fearofgod.com/","https://fearofgod.com/pages/terms-of-use","confirmed","prior written permission required","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","Terms identify protected ESSENTIALS marks."
"Godspeed","godspeed","https://api-next.indexfinds.com/uploads/brand-godspeed-1773665640460.jpg","https://www.godspeednewyork.com/","https://www.godspeednewyork.com/policies/terms-of-service","probable Godspeed New York; name needs normalization","no public third-party commercial license found","200; two stale broken-logo elements remained after API returned null","text only; normalize identity before any asset request","pending deployment","2026-09-05","Generic database name is not sufficient for logo matching."
"Golden Goose Deluxe Brand","golden-goose-deluxe-brand","https://api-next.indexfinds.com/uploads/brand-golden goose deluxe brand-1774042527735.png","https://www.goldengoose.com/ww/en","https://www.goldengoose.com/us/en/use.html","confirmed; database uses former full name","prior written permission required","200; first-letter placeholder visible","text only; consider normalizing name to Golden Goose","pending deployment","2026-09-05","Current official name differs from database label."
"Gymshark","gymshark","https://api-next.indexfinds.com/uploads/brand-gymshark-1773910775025.png","https://www.gymshark.com/","https://www.gymshark.com/pages/terms-of-use","confirmed","commercial use requires permission","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","No public reusable media license located."
"Harley-Davidson","harley-davidson","https://api-next.indexfinds.com/uploads/brand-harley-davidson-1773716494679.jpg","https://www.harley-davidson.com/us/en/content/stories/harley-davidson-modern-bar-shield-history.html","https://www.harley-davidson.com/us/en/footer/utility/terms-of-use.html","confirmed","non-personal use requires written approval","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Official navigation SVG is identity evidence only."
"Hellcat Records","hellcat-records","https://api-next.indexfinds.com/uploads/brand-hellcat records-1773672362041.jpg","https://hellcatrecords.com/","https://hellcatrecords.com/policies/terms-of-service","confirmed","no public third-party commercial license found","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","Store operation does not grant directory logo rights."
"Hellstar","hellstar","https://api-next.indexfinds.com/uploads/brand-hellstar-1772430651172.png","https://hellstar.com/","https://hellstar.com/policies/terms-of-service","confirmed","prior written permission required","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","Unofficial sites were excluded from source selection."
"Jil Sander","jil-sander","https://api-next.indexfinds.com/uploads/brand-jil sander-1772389037244.png","https://www.jilsander.com/en-gb/?country=GLOBAL","https://www.jilsander.com/en-de/legal-area.html","confirmed","no public third-party commercial license found","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Official legal area provides no reusable logo grant."
"Juventus","juventus","https://api-next.indexfinds.com/uploads/brand-juventus-1773693309416.png","https://www.juventus.com/EN/club/logo","https://www.juventus.com/en/terms-and-conditions","confirmed","no public third-party commercial license found","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Identity page verifies the current mark but is not a license."
"Palace Skateboards","palace-skateboards","https://api-next.indexfinds.com/uploads/brand-palace skateboards-1773687246642.png","https://boring.palaceskateboards.com/","https://boring.palaceskateboards.com/ca/terms-of-service","confirmed","prior permission required","200; first-letter placeholder visible","text only; do not install candidate logo","pending deployment","2026-09-05","Terms protect company logos and related marks."
"Palmeiras","palmeiras","https://api-next.indexfinds.com/uploads/brand-palmeiras-1773692963984.jpg","https://palmeiras.com.br/escudos/","https://www.palmeiras.com.br/upload/guiaidentidadevisualsep.pdf","confirmed","official digital files require club contact","200; first-letter placeholder visible","text only; do not extract logo from the PDF","pending deployment","2026-09-05","Visual guide is usage guidance not a public commercial license."
"Paris Saint-Germain","paris-saint-germain","https://api-next.indexfinds.com/uploads/brand-paris saint-germain-1773660266772.png","https://en.psg.fr/","https://soutenir.psg.fr/en/legal/mentions-legales/","confirmed","prior written authorization required","200; two stale broken-logo elements remained after API returned null","text only; do not install candidate logo","pending deployment","2026-09-05","Legal notice prohibits unauthorized display and exploitation."
"PSD","psd","https://api-next.indexfinds.com/uploads/brand-psd-1773667702415.png","https://www.psd.com/","https://www.psd.com/pages/marketplace-policy","probable PSD Underwear; name needs normalization","limited use only for qualifying authorized resellers","200; two stale broken-logo elements remained after API returned null","text only; confirm reseller status before any asset request","pending deployment","2026-09-05","Current directory has no evidence of an authorized-reseller license."
