"domain","site_name","platform","site_type","production_state","homepage_status","canonical_root","robots_status","sitemap_status","sitemap_page_count","favicon_status","indexable_review_pages","deep_pages_reviewed","audit_result","gsc_inventory","notes"
"1to1finds.cloud","1to1 Finds Cloud","1to1finds","shared_tenant","live","200","https://1to1finds.cloud/en","200","200","7","200","7","4","pass","verified_access_processing","GSC property verified and accessible; performance data still processing; external-source auto-check warning only"
"1to1finds.com","1to1 Finds","1to1finds","shared_tenant","live","200","https://1to1finds.com/en","200","200","7","200","7","4","pass","verified_access_processing","GSC property verified and accessible; performance data still processing; external-source auto-check warning only"
"1to1reps.com","1to1Reps Product Research","1to1reps","shared_tenant","live","200","https://1to1reps.com/en","200","200","7","200","7","4","pass","verified_access_index_coverage","restored and verified; do not retire; GSC index coverage is available and performance baseline remains to be exported"
"1to1spreadsheet.com","1to1 Spreadsheet","1to1spreadsheet","shared_tenant","live","200","https://1to1spreadsheet.com/en","200","200","7","200","7","4","pass","verified_access_processing","GSC property verified and accessible; performance data still processing; external-source auto-check warning only"
"acbuyindex.com","ACBuy Product Index","acbuyindex","shared_tenant","live","200","https://acbuyindex.com/en","200","200","7","200","7","4","pass","known_property",""
"allchinabuyfinder.com","AllChinaBuy Finder","allchinabuyfinder","shared_tenant","live","200","https://allchinabuyfinder.com/en","200","200","6","200","6","4","pass","known_property",""
"allchinabuyindex.com","AllChinaBuy Product Index","allchinabuyindex","shared_tenant","live","200","https://allchinabuyindex.com/en","200","200","7","200","7","4","pass","known_property",""
"bbdbuyeufinds.com","BBDbuyEU Finds","bbdbuyeufinds","shared_tenant","live","200","https://bbdbuyeufinds.com/en","200","200","7","200","7","4","pass","known_property",""
"bbdbuyeus.com","BBDbuy US Guide","bbdbuyeus","shared_tenant","live","200","https://bbdbuyeus.com/en","200","200","7","200","7","4","pass","known_property",""
"bbdbuyeusheet.com","BBDbuyEU Spreadsheet","bbdbuyeusheet","shared_tenant","live","200","https://bbdbuyeusheet.com/en","200","200","5","200","5","4","pass","known_property",""
