"priority_rank","domain","tier","target_query","gsc_28d_clicks","gsc_28d_impressions","gsc_28d_ctr_percent","gsc_28d_average_position","gsc_28d_state","gsc_data_observed_at","current_24h_position","current_24h_clicks","current_24h_impressions","current_24h_state","next_action","notes"
"1","boonbuyindex.com","active_28d_opportunity","boonbuy spreadsheet","13","2440","0.5","6","28d data available","2026-08-31T10:18:15.575Z","9.0","0","1","出现","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"2","goatedbuyindex.com","active_28d_opportunity","goatedbuy spreadsheet","14","1320","1.1","7.3","28d data available","2026-08-31T10:18:15.575Z","8.0","1","1","出现","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"3","bbdbuyeusheet.com","active_28d_opportunity","bbdbuyeu","5","420","1.2","7.6","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"4","bbdbuyeufinds.com","active_28d_opportunity","bbdbuyeu","5","337","1.5","8","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"5","gtbuyindex.com","active_28d_opportunity","gtbuy links","3","184","1.6","11.8","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"6","litbuyproducts.com","active_28d_opportunity","litbuy invitation code","5","144","3.5","9","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"7","parcelupindex.com","active_28d_opportunity","parcel up","3","137","2.2","9.4","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"8","usfansindex.net","active_28d_opportunity","usfans spreadsheet","6","153","3.9","11.9","28d data available","2026-08-31T10:18:15.575Z","","0","0","未出现","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"9","hoobuyindex.net","active_28d_opportunity","hoobuy","1","233","0.4","20.8","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"10","mulebuyindex.net","active_28d_opportunity","mulebuy order pending","0","142","0","15.3","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
